experiment_number,probability,result-reg,result-red,difference
15,0.06,52,52,0
16,0.06,149,107,42
17,0.06,41,40,1
18,0.06,156,92,64
19,0.06,47,48,-1
20,0.06,131,106,25
21,0.06,38,38,0
22,0.06,47,48,-1
23,0.06,38,38,0
24,0.06,101,66,35
25,0.06,679,147,532
26,0.06,36,36,0
27,0.06,178,103,75
28,0.06,51,52,-1
29,0.06,39,38,1
30,0.06,90,72,18
31,0.06,48,46,2
32,0.06,104,61,43
33,0.06,48,46,2
34,0.06,260,121,139
35,0.06,66,56,10
36,0.06,144,95,49
37,0.06,75,65,10
38,0.06,39,38,1
39,0.06,68,60,8
40,0.06,51,41,10
41,0.06,96,78,18
42,0.06,52,52,0
43,0.06,110,88,22
44,0.06,226,100,126
45,0.06,51,41,10
46,0.06,86,71,15
47,0.06,58,47,11
48,0.06,118,84,34
49,0.06,64,53,11
50,0.06,65,64,1
1,0.07,3648,294,3354
2,0.07,364,188,176
3,0.07,43,42,1
4,0.07,43,42,1
5,0.07,53,43,10
6,0.07,46,44,2
7,0.07,104,98,6
8,0.07,900,485,415
9,0.07,64,55,9
10,0.07,65,53,12
11,0.07,49,50,-1
12,0.07,79,69,10
13,0.07,78,65,13
14,0.07,6885,4343,2542
15,0.07,47,47,0
16,0.07,220,121,99
17,0.07,84,69,15
18,0.07,112,97,15
19,0.07,80,67,13
20,0.07,591,318,273
21,0.07,39,38,1
22,0.07,103,69,34
23,0.07,208,125,83
24,0.07,103,89,14
25,0.07,328,169,159
26,0.07,98,87,11
27,0.07,73,63,10
28,0.07,39,38,1
29,0.07,72,62,10
30,0.07,47,47,0
31,0.07,207,107,100
32,0.07,110,72,38
33,0.07,897,566,331
34,0.07,126,78,48
35,0.07,43,42,1
36,0.07,41,40,1
37,0.07,1995,940,1055
38,0.07,373,168,205
39,0.07,718,195,523
40,0.07,89,77,12
41,0.07,51,52,-1
42,0.07,53,50,3
43,0.07,52,51,1
44,0.07,64,65,-1
45,0.07,87,80,7
46,0.07,258,129,129
47,0.07,152,100,52
48,0.07,121,109,12
49,0.07,256,129,127
50,0.07,74,73,1
1,0.08,372,121,251
2,0.08,94,88,6
3,0.08,92,72,20
4,0.08,74,72,2
5,0.08,131,109,22
6,0.08,119,106,13
7,0.08,204,124,80
8,0.08,71,71,0
9,0.08,66,58,8
10,0.08,182,106,76
11,0.08,51,52,-1
12,0.08,784,527,257
13,0.08,543,266,277
14,0.08,402,271,131
15,0.08,77,75,2
16,0.08,49,49,0
17,0.08,110,89,21
18,0.08,112,92,20
19,0.08,313,153,160
20,0.08,62,63,-1
21,0.08,65,64,1
22,0.08,58,57,1
23,0.08,48,46,2
24,0.08,145,102,43
25,0.08,193,144,49
26,0.08,12068,2700,9368
27,0.08,338,196,142
28,0.08,86,78,8
29,0.08,92,72,20
30,0.08,807,358,449
31,0.08,118,88,30
32,0.08,120,85,35
33,0.08,75,66,9
34,0.08,87,82,5
35,0.08,70,60,10
36,0.08,2650,338,2312
37,0.08,45,44,1
38,0.08,1937,314,1623
39,0.08,778,417,361
40,0.08,85,76,9
41,0.08,93,73,20
42,0.08,97,85,12
43,0.08,49,50,-1
44,0.08,54,54,0
45,0.08,49,49,0
46,0.08,1510,475,1035
47,0.08,95,77,18
48,0.08,1103,223,880
49,0.08,2035,966,1069
50,0.08,67,64,3
1,0.09,81,72,9
2,0.09,310,134,176
3,0.09,82,75,7
4,0.09,451,152,299
5,0.09,576,202,374
6,0.09,247,247,0
7,0.09,68,68,0
8,0.09,10005,5210,4795
9,0.09,164,148,16
