experiment_number,probability,result
49,0.08,966
50,0.08,64
1,0.09,72
2,0.09,134
3,0.09,75
4,0.09,152
5,0.09,202
6,0.09,247
7,0.09,68
8,0.09,5210
9,0.09,148
10,0.09,124
11,0.09,127
12,0.09,71
13,0.09,1286
14,0.09,57
15,0.09,144
16,0.09,55
17,0.09,53
18,0.09,54
19,0.09,356
20,0.09,114
21,0.09,54
22,0.09,61
23,0.09,110
24,0.09,103
25,0.09,146
26,0.09,327
27,0.09,253
28,0.09,394
29,0.09,400
30,0.09,87
31,0.09,48
32,0.09,114
33,0.09,367
34,0.09,244
35,0.09,36
36,0.09,130
37,0.09,549
38,0.09,98
39,0.09,148
40,0.09,4545
41,0.09,125
42,0.09,56
43,0.09,40
44,0.09,85
45,0.09,109
46,0.09,108
47,0.09,102
48,0.09,244
49,0.09,36
50,0.09,920
1,0.10,345
2,0.10,194
3,0.10,111
4,0.10,183
5,0.10,66
6,0.10,16608
7,0.10,124
8,0.10,300
9,0.10,102
10,0.10,106
11,0.10,410
12,0.10,207
13,0.10,43
14,0.10,6092
15,0.10,79
16,0.10,103
17,0.10,1655
18,0.10,19229
19,0.10,48
20,0.10,125
21,0.10,659
22,0.10,17913
23,0.10,93
24,0.10,886
25,0.10,58
26,0.10,111
27,0.10,89
28,0.10,51
29,0.10,9705
30,0.10,241
31,0.10,50
32,0.10,1400
33,0.10,238
34,0.10,1249
35,0.10,341
36,0.10,98
37,0.10,59
38,0.10,685
39,0.10,71
40,0.10,72
41,0.10,277
42,0.10,110
43,0.10,165
44,0.10,8086
45,0.10,4460
46,0.10,101
47,0.10,292
48,0.10,80
49,0.10,64
50,0.10,60
